,Condition,Cylinders,Drive,Fuel,Link,Make,Model,Odometer,Paint_color,Price,Size,Title,Title_status,Transmission,Type,Unnamed: 0,VIN,Year,id
50, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2014-honda-accord-lx-sedan-4d/6686681959.html,Honda,Accord,54475, black,12900.0, compact,2014 HONDA ACCORD LX SEDAN 4D, clean, automatic, sedan,, 1HGCR2F37EA253027,2014,50.0
51, good, 4 cylinders,, gas,https://losangeles.craigslist.org/sfv/cto/d/2008-honda-accord-ex/6705359460.html,Honda,Accord,161077, black,5995.0,,* * 2008 HONDA ACCORD EX-L * * NAVIGATION * BLUETOOTH * CLEAN TITLE, clean, automatic, sedan,,,2008,51.0
52, like new, 6 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2008-honda-accord/6708222233.html,Honda,Accord,158358, black,7999.0,,2008 Honda accord, clean, automatic,,, 1HGCP36828A023763,2008,52.0
53, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2014-honda-accord-ex/6708242860.html,Honda,Accord,119000, black,9999.0, mid-size,2014 honda accord ex, clean, automatic,,,,2014,53.0
54, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord-ex-sport/6708224829.html,Honda,Accord,73,,7490.0,,2012 Honda Accord EX Sport - Super Low Leather!!Miles - 4 Doors, salvage, automatic,,,,2012,54.0
55, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2009-honda-accord-4-door/6704199083.html,Honda,Accord,158000, grey,5300.0, full-size,2009 Honda accord 4  door, clean, automatic, sedan,,,2009,55.0
56, excellent,,, gas,https://losangeles.craigslist.org/lgb/cto/d/2011-honda-accord/6696270634.html,Honda,Accord,95000, blue,7000.0,,2011 Honda Accord, salvage, automatic,,,,2011,56.0
57, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/honda-accord-2015/6708101474.html,Honda,Accord,104700, silver,12900.0, compact,Honda Accord 2015, clean, automatic, sedan,,,2015,57.0
58, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/vendo-honda-accord-2009/6707960687.html,Honda,Accord,84323, white,5600.0, compact,Vendo honda accord 2009, salvage, automatic, sedan,, Xxxxxxxxxxx,2009,58.0
59, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-exl/6707894115.html,Honda,Accord,84245, white,5600.0, compact,2009 HONDA ACCORD EXL, salvage, automatic, sedan,,,2009,59.0
60, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2008-honda-accord/6707710168.html,Honda,Accord,148047, blue,6200.0,,2008 honda accord, clean, automatic, sedan,,,2008,60.0
61, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/auto/6682000922.html,Honda,Accord,101347, grey,6000.0, compact,AUTO, salvage, automatic, coupe,, IHGCS12889A018609,2009,61.0
62, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2008-honda-accord-ex-fully/6707621497.html,Honda,Accord,208000, grey,6500.0, compact,2008 Honda Accord EX fully loaded, clean, automatic,,,,2008,62.0
63, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2016-honda-accord-sport/6707584391.html,Honda,Accord,30351, silver,20995.0, full-size,2016 Honda Accord Sport, clean, automatic, sedan,, 1HGCR2F54GA055221,2016,63.0
64, good, 4 cylinders, rwd, gas,https://losangeles.craigslist.org/sfv/cto/d/salvage/6707553220.html,Honda,Accord,61, grey,10500.0, mid-size,Salvage, salvage, automatic, sedan,,,2014,64.0
65, good, 4 cylinders, rwd, gas,https://losangeles.craigslist.org/sfv/cto/d/salvage/6707552788.html,Honda,Accord,61, grey,10500.0, mid-size,Salvage, salvage, automatic, sedan,,,2014,65.0
66, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2017-honda-accord-sport-sedan/6704607538.html,Honda,Accord,9000, silver,15500.0, mid-size,2017 Honda Accord Sport Sedan, salvage, automatic, sedan,,,2017,66.0
67, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2015-honda-accord-coupe/6707347069.html,Honda,Accord,39000, white,14500.0, mid-size,2015 Honda Accord Coupe, clean, automatic, coupe,,,2015,67.0
68, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2010-honda-accord-ex-v6-clean/6687613844.html,Honda,Accord,95500, black,9700.0, full-size,2010 Honda Accord EX-L V6 (clean title), clean, automatic, sedan,,,2010,68.0
69, excellent, 4 cylinders, rwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2014-honda-accord-sportclean/6704120404.html,Honda,Accord,85000, custom,13500.0,,2014 HONDA ACCORD SPORT(Clean Title 85k ML), clean, automatic, sedan,,,2014,69.0
70, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/17-honda-accord-sport/6706815242.html,Honda,Accord,21000, silver,19500.0, full-size,17 Honda accord sport, clean, automatic, sedan,,,2017,70.0
71, like new,,, gas,https://losangeles.craigslist.org/sfv/cto/d/2015-honda-accord-30k-not-fake/6699737245.html,Honda,Accord,30600, black,14000.0,,2015 Honda Accord 30k not fake, clean, automatic,,, 1HGCR2F30FA184196,2015,71.0
72, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2015-honda-accord-lx/6704787760.html,Honda,Accord,52200, black,13300.0, full-size,2015 Honda Accord LX, clean, automatic, sedan,, 1HGCR2F38FA127812,2015,72.0
73, good, 6 cylinders,, gas,https://losangeles.craigslist.org/wst/cto/d/2008-honda-accord-exl/6686175255.html,Honda,Accord,109000, white,5800.0,,2008 Honda Accord EXL, clean, automatic,,,,2008,73.0
74, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/honda-accord-v6-2008/6703456147.html,Honda,Accord,92000, white,5500.0, mid-size,Honda Accord V6 2008, clean, automatic, sedan,,,2008,74.0
75, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/honda-accord-lx-2009/6706721479.html,Honda,Accord,140900, grey,5900.0, mid-size,HONDA ACCORD LX 2009, clean, automatic, sedan,,,2009,75.0
76, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2015-honda-accord-sport-4dr/6695572777.html,Honda,Accord,43,,12300.0,,2015 Honda Accord SPORT 4dr Sedan, clean, automatic, sedan,,,2015,76.0
77, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2010-honda-accord-coupe-ex-v6/6706603787.html,Honda,Accord,90000, black,14899.0,,2010 Honda Accord Coupe EX-L V6 Fully Loaded, clean, automatic, coupe,, 1HGCS2B86AA003035,2010,77.0
78, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2016-honda-accord-lx/6706493762.html,Honda,Accord,4300, grey,14300.0,,2016 honda accord LX, rebuilt, automatic,,,,2016,78.0
