,Title,Make,Model,Year,Condition,Cylinders,Drive,Fuel,Odometer,Paint_color,Size,Title_status,Transmission,Type,Price,VIN,Link
37,2015 Honda Civic SE Sedan 4D  ** Clean Title - One Owner **,Honda,Civic,2015, excellent, 4 cylinders, fwd, gas,59600, black, compact, clean, automatic, sedan,"$12,500 ",,https://losangeles.craigslist.org/lac/cto/d/2015-honda-civic-se-sedan-4d/6709303091.html
38,2012 Honda civic EX 4 doors 80K miles automatic moon roof runs great,Honda,Civic,2012, good, 4 cylinders, fwd, gas,80600, black, mid-size, salvage, automatic, sedan,"$5,000 ",,https://losangeles.craigslist.org/lgb/cto/d/2012-honda-civic-ex-4-doors/6695579017.html
39,"2008 HONDA CIVIC-EX, 2 DR COUPE,SUPER CLEAN ,CLEAN TITLE",Honda,Civic,2008, excellent, 4 cylinders, fwd, gas,130000, silver, compact, clean, automatic, coupe,"$5,300 ",,https://losangeles.craigslist.org/sfv/cto/d/2008-honda-civic-ex-2-dr/6703879281.html
40,2013 Honda Civic SI One Owner Clean Title,Honda,Civic,2013, excellent, 4 cylinders, fwd, gas,46000, blue,, clean, manual, sedan,"$14,500 ", 2HGFB6E50DH707632,https://losangeles.craigslist.org/wst/cto/d/2013-honda-civic-si-one-owner/6707331977.html
41,"2012 Honda CIVIC EX 4D Sedan *Low 71,802 Miles* Clean Title",Honda,Civic,2012, good, 4 cylinders, fwd, gas,71802, black,, clean, automatic, sedan,"$9,900 ", 2HGFB2F81CH329899,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic-ex-4d-sedan/6709141203.html
42,2008 HONDA CIVIC HYBRID*CLEAN TITLE*Low Miles*CLEAN CAR FAX,Honda,Civic,2008, excellent, 4 cylinders,, hybrid,126000, grey,, clean, automatic, sedan,"$5,390 ", JHMFA36298S006198,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-hybridclean/6702755786.html
43,2011 Honda Civic EX Sedan 4D,Honda,Civic,2011, excellent, 4 cylinders, fwd, gas,69366, black,, clean, automatic, sedan,"$9,999 ", 2HGFA1F86BH536638,https://losangeles.craigslist.org/sgv/cto/d/2011-honda-civic-ex-sedan-4d/6685822479.html
44,2008 Honda Civic EX 4DR Sedan with 91k miles in Excellent Condition,Honda,Civic,2008, excellent,,, gas,95000,,, clean, automatic,,"$7,550 ",,https://losangeles.craigslist.org/sfv/cto/d/2008-honda-civic-ex-4dr-sedan/6705844924.html
45,"2015 HONDA CIVIC  (2011, 2012,2014,2013)",Honda,Civic,2015, excellent,,, gas,22000, blue,, clean, automatic, hatchback,"$10,999 ",,https://losangeles.craigslist.org/lac/cto/d/2015-honda-civic/6709035907.html
46,Excellent condition 2016 Honda Civic EX-L,Honda,Civic,2016, excellent,, fwd, gas,23600, black,, clean, automatic,,"$17,950 ",,https://losangeles.craigslist.org/lgb/cto/d/excellent-condition-2016/6698504176.html
47,2008 Honda Civic Excellent Condition,Honda,Civic,2008, excellent, 4 cylinders, fwd, gas,133121, silver, full-size, clean, automatic, coupe,"$4,900 ",,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-excellent/6683301199.html
48,2011 Honda Civic EX Sedan,Honda,Civic,2011, excellent, 4 cylinders, fwd, gas,69366, black, compact, clean, automatic, sedan,"$9,999 ", 2HGFA1F86BH536638,https://losangeles.craigslist.org/lgb/cto/d/2011-honda-civic-ex-sedan/6698118197.html
49,**2009 Honda Civic SI Sedan**,Honda,Civic,2009, good, 4 cylinders, fwd, gas,86000, blue, compact, clean, manual, sedan,"$10,500 ",,https://losangeles.craigslist.org/lgb/cto/d/2009-honda-civic-si-sedan/6708986469.html
50,2012 Honda Civic,Honda,Civic,2012, like new, 4 cylinders,, gas,105000, blue,, clean, automatic,,"$6,700 ",,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic/6708982744.html
51,Honda Civic EX Turbo Hatchback With Self Driving Honda Sensing,Honda,Civic,2017, like new, 4 cylinders, rwd, gas,9100, grey,, salvage, automatic,,"$14,200 ",,https://losangeles.craigslist.org/lac/cto/d/honda-civic-ex-turbo/6697962784.html
52,2014 HONDA CIVIC GX,Honda,Civic,2014, excellent, 4 cylinders, fwd, other,78326, silver, compact, salvage, automatic, sedan,"$8,050 ", 19XFB5F5XEE000414,https://losangeles.craigslist.org/sfv/cto/d/2014-honda-civic-gx/6708963393.html
53,2012 Honda Civic LX,Honda,Civic,2012, excellent, 4 cylinders, fwd, gas,141200, red, compact, clean, automatic, sedan,"$6,800 ",,https://losangeles.craigslist.org/sgv/cto/d/2012-honda-civic-lx/6701292273.html
54,Honda cívic 2010,Honda,Civic,2010, like new, 4 cylinders, fwd, gas,48535, blue, full-size, salvage, automatic, sedan,"$5,800 ",,https://losangeles.craigslist.org/lac/cto/d/honda-cvic-2010/6708834274.html
55,2010 Honda Civic $5499,Honda,Civic,2010, excellent, 4 cylinders, fwd, gas,90500, black, compact, salvage, automatic, sedan,"$5,499 ",,https://losangeles.craigslist.org/lac/cto/d/2010-honda-civic-5499/6708830329.html
56,2008 Honda Civic CNG salvaged,Honda,Civic,2008, excellent, 4 cylinders,, gas,108000, silver, compact, salvage, automatic,,"$4,999 ",,https://losangeles.craigslist.org/sfv/cto/d/2008-honda-civic-cng-salvaged/6699854710.html
57,2015 Honda civic lx,Honda,Civic,2015, excellent, 4 cylinders, fwd, gas,32000, grey, compact, salvage, automatic, sedan,"$8,900 ",,https://losangeles.craigslist.org/lac/cto/d/2015-honda-civic-lx/6698233988.html
58,Honda Civic si,Honda,Civic,2015, excellent, 4 cylinders, fwd, gas,40000, grey, mid-size, salvage, manual, coupe,"$15,000 ",,https://losangeles.craigslist.org/sfv/cto/d/honda-civic-si/6708593458.html
59,2008 Honda Civic Hybrid,Honda,Civic,2008, excellent, 4 cylinders, fwd, hybrid,125000, custom, mid-size, clean, automatic, sedan,"$4,800 ",,https://losangeles.craigslist.org/sgv/cto/d/2008-honda-civic-hybrid/6708583723.html
60,2012 HONDA CIVIC EXL,Honda,Civic,2012, good, 6 cylinders, fwd, gas,62340, blue, mid-size, clean, automatic, sedan,"$10,800 ",,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic-exl/6700448155.html
61,2010 Honda Civic LX-S,Honda,Civic,2010, good, 4 cylinders, fwd, gas,142890, grey, mid-size, clean, manual, sedan,"$4,800 ", 2HGFA1E66AH529431,https://losangeles.craigslist.org/wst/cto/d/2010-honda-civic-lx/6693399605.html
62,2015 HONDA CIVIC (LOW MILES),Honda,Civic,2015, like new, 4 cylinders,, gas,30986,,, clean, automatic,,"$10,400 ",,https://losangeles.craigslist.org/sfv/cto/d/2015-honda-civic-low-miles/6706658019.html
63,2011 Honda Civic EX-L,Honda,Civic,2011, good, 4 cylinders, fwd, gas,113000, white,, clean, manual,,"$7,300 ",,https://losangeles.craigslist.org/sfv/cto/d/2011-honda-civic-ex/6708470775.html
64,"2012 HONDA CIVIC HYBRID 4DR SEDAN 48MPG 40K MILES, SALVAG",Honda,Civic,2012, like new, 4 cylinders, fwd, hybrid,40000, grey, compact, salvage, automatic, sedan,"$7,400 ",,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-civic-hybrid-4dr/6708468554.html
