,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Price,VIN,Link
57,2015 Toyota Camry XSE Sedan,Toyota,Camry,2015, excellent, 6 cylinders, fwd, gas, 81910, white, mid-size, clean, automatic, sedan,$15900, 4T1BK1FK6FU028402,https://losangeles.craigslist.org/lgb/cto/d/2015-toyota-camry-xse-sedan/6697254235.html
58,2011 Toyota Camry SE,Toyota,Camry,2011, excellent, 4 cylinders, fwd, gas, 131000, black, full-size, clean, automatic, sedan,$7800, 4T1BF3EKXBU168061,https://losangeles.craigslist.org/sgv/cto/d/2011-toyota-camry-se/6700502235.html
59,2009 Toyota Camry LE,Toyota,Camry,2009, good, 4 cylinders, fwd, gas, 130000, grey, mid-size, clean, automatic, sedan,$6280,,https://losangeles.craigslist.org/sfv/cto/d/2009-toyota-camry-le/6697325346.html
60,2011 TOYOTA CAMRY CE,Toyota,Camry,2011, good, 4 cylinders, fwd, gas, 75395, silver, full-size, clean, automatic, sedan,$7299,,https://losangeles.craigslist.org/sfv/cto/d/2011-toyota-camry-ce/6705830429.html
61,2014 TOYOTA CAMRY 62000 MILES CLEAN TITLE,Toyota,Camry,2014, excellent, 4 cylinders, fwd, gas, 62000, white, mid-size, clean, automatic, sedan,$13750,,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-camrymiles-clean/6687594469.html
62,2014 Toyota Camry SE with salvage title,Toyota,Camry,2014, good, 4 cylinders, fwd, gas, 76000, black, mid-size, salvage, automatic, sedan,$8995,,https://losangeles.craigslist.org/sgv/cto/d/2014-toyota-camry-se-with/6705609093.html
63,2016 TOYOTA CAMRY SE,Toyota,Camry,2016, like new, 4 cylinders,, gas, 50000,,, salvage, automatic,,$11000,,https://losangeles.craigslist.org/lac/cto/d/2016-toyota-camry-se/6705541344.html
64,2018 TOYOTA CAMRY LE // ECO TECH,Toyota,Camry,2018, like new, 4 cylinders, fwd, gas, 17829, black, full-size, salvage, automatic, sedan,$17500,,https://losangeles.craigslist.org/wst/cto/d/2018-toyota-camry-le-eco-tech/6694173704.html
65,2012 Toyota Camry SE,Toyota,Camry,2012, like new, 4 cylinders, fwd, gas, 86500, black, mid-size, salvage, automatic, sedan,$8450,,https://losangeles.craigslist.org/sfv/cto/d/2012-toyota-camry-se/6704304989.html
66,2012 Toyota Camry SE,Toyota,Camry,2012, like new, 4 cylinders, fwd, gas, 86500, black, mid-size, salvage, automatic, sedan,$8450,,https://losangeles.craigslist.org/sfv/cto/d/2012-toyota-camry-se/6704304662.html
67,Toyota camry le,Toyota,Camry,2009, good, 4 cylinders, fwd, gas, 136000, silver, full-size, clean, automatic, sedan,$5800,,https://losangeles.craigslist.org/sgv/cto/d/toyota-camry-le/6692727577.html
68,2017 TOYOTA CAMRY SE/CLEAN TITLE/25K MILES,Toyota,Camry,2017, excellent, 4 cylinders, fwd, gas, 25004, grey, mid-size, clean, automatic, sedan,$17400,,https://losangeles.craigslist.org/lgb/cto/d/2017-toyota-camry-se-clean/6703860776.html
69,2012 Camry Xle clean title,Toyota,Camry,2012, excellent, 4 cylinders, fwd, gas, 105000, white, full-size, clean, automatic, sedan,$12750, 0009999991,https://losangeles.craigslist.org/sfv/cto/d/2012-camry-xle-clean-title/6703442401.html
70,2012 Toyota Camry LE,Toyota,Camry,2012, like new, 4 cylinders, fwd, gas, 117068, grey, full-size, clean, automatic, sedan,$10999, 4T1BF1FK7CU616292,https://losangeles.craigslist.org/lac/cto/d/2012-toyota-camry-le/6703344426.html
71,2011 toyota CAMRY / LE -（ROSEMEAD）,Toyota,Camry,2011, good, 6 cylinders, fwd, gas, 95000, grey, compact, parts only, automatic, sedan,$7500,,https://losangeles.craigslist.org/lac/cto/d/2011-toyota-camry-le-rosemead/6677574069.html
72,2015 Toyota Camry Sport Edition,Toyota,Camry,2015, like new, 4 cylinders, fwd, gas, 77731, white,, clean, automatic,,$12800,,https://losangeles.craigslist.org/lac/cto/d/2015-toyota-camry-sport/6703132717.html
73,2008 Toyota Camry,Toyota,Camry,2008, good, 4 cylinders,, gas, 154000, black,, clean, automatic,,$5000,,https://losangeles.craigslist.org/sgv/cto/d/2008-toyota-camry/6681345617.html
74,2013 Toyota Camry LE,Toyota,Camry,2013, like new, 4 cylinders, fwd, gas, 67000, grey,, clean, automatic, sedan,$12200, 4T4BF1FK6DR275703,https://losangeles.craigslist.org/lac/cto/d/2013-toyota-camry-le/6676467698.html
75,2009 Toyota Camry LE,Toyota,Camry,2009, good, 4 cylinders, fwd, gas, 116000, black, mid-size, clean, automatic, sedan,$5000, 4T1BE46K49U806449,https://losangeles.craigslist.org/wst/cto/d/2009-toyota-camry-le/6678918939.html
76,2012 TOYOTA CAMRY SE BLUE MATALLIC SEDAN,Toyota,Camry,2012, new, 4 cylinders, fwd, gas, 41752, blue, full-size, clean, automatic, sedan,$12499,,https://losangeles.craigslist.org/lac/cto/d/2012-toyota-camry-se-blue/6685746062.html
77,2014 Toyota Camry SE,Toyota,Camry,2014, like new, 4 cylinders, fwd, gas, 69000, black, mid-size, salvage, automatic, sedan,$9000,,https://losangeles.craigslist.org/lac/cto/d/2014-toyota-camry-se/6702034597.html
78,2013 Toyota Camry for sale excellent condition!!,Toyota,Camry,2013, excellent, 4 cylinders,, gas, 90957, white,, clean, automatic, sedan,$11000,,https://losangeles.craigslist.org/lac/cto/d/2013-toyota-camry-for-sale/6701666483.html
79,TOYOTA CAMRY SE,Toyota,Camry,2015, excellent, 4 cylinders,, gas, 70000, silver, full-size, clean, automatic, sedan,$12500,,https://losangeles.craigslist.org/ant/cto/d/toyota-camry-se/6701504495.html
