,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Price,VIN,Link
109,2014 Toyota Pirus II Silver w/Back up Camera - Very Good Condition,Toyota,Prius,2014, excellent,,, hybrid, 93500,,, clean, automatic,,$12500,,https://losangeles.craigslist.org/lgb/cto/d/2014-toyota-pirus-ii-silver/6707259559.html
110,Toyota Prius C 53MPG Low Mileage,Toyota,Prius,2014, good, 4 cylinders,, hybrid, 67000,,, salvage, automatic,,$7900,,https://losangeles.craigslist.org/wst/cto/d/toyota-prius-53mpg-low-mileage/6681920591.html
111,2012 Toyota Prius,Toyota,Prius,2012, excellent,,, gas, 80000,,, salvage, automatic,,$8700,,https://losangeles.craigslist.org/sfv/cto/d/2012-toyota-prius/6707087470.html
112,2013 Prius C by Owner Gas saver Excellent condition 150k Miles,Toyota,Prius,2013, excellent,,, hybrid, 150000, grey, compact, clean, automatic, hatchback,$6950,,https://losangeles.craigslist.org/sfv/cto/d/2013-prius-by-owner-gas-saver/6707073793.html
113,2015 Toyota Prius Two,Toyota,Prius,2015, excellent, 4 cylinders, fwd, gas, 67000, white, mid-size, clean, automatic, hatchback,$14000, JTDKN3DU3F2002508,https://losangeles.craigslist.org/wst/cto/d/2015-toyota-prius-two/6697103259.html
114,2011 Toyota Prius,Toyota,Prius,2011, good, 4 cylinders, fwd, gas, 217000, white, compact, clean, automatic, hatchback,$6100,,https://losangeles.craigslist.org/sgv/cto/d/2011-toyota-prius/6688560542.html
115,2012 Toyota Prius ! ! ! ONLY 43000 Miles ! ! !,Toyota,Prius,2012, like new, 4 cylinders,, hybrid, 43000,,, salvage, automatic,,$9500,,https://losangeles.craigslist.org/wst/cto/d/2012-toyota-prius-onlymiles/6704190839.html
116,2010 Toyota Prius IV Fully Loaded + Solar Package,Toyota,Prius,2010, excellent, 4 cylinders,, hybrid, 65690, silver,, clean, automatic, hatchback,$13000,,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-prius-iv-fully/6688280259.html
117,2011 Toyota Prius Two CLEAN and Excellent,Toyota,Prius,2011, excellent, 4 cylinders, fwd, gas, 165000, blue,, clean, automatic,,$7000,,https://losangeles.craigslist.org/lac/cto/d/2011-toyota-prius-two-clean/6706753205.html
118,Toyota Prius C Three with Backup Camera,Toyota,Prius,2013, good, 4 cylinders, fwd, hybrid, 30211, blue, compact, lien, automatic, sedan,$13000,,https://losangeles.craigslist.org/lac/cto/d/toyota-prius-three-with/6706751838.html
119,2013 WHITE PRIUS w/ Navigation HYBRID 33K Miles Excellent Condition,Toyota,Prius,2013, excellent, 4 cylinders,, hybrid, 33000, white,, clean, automatic,,$15500, JTDKN3DUOD5678040,https://losangeles.craigslist.org/wst/cto/d/2013-white-prius-navigation/6706744135.html
120,2008 Toyota Prius,Toyota,Prius,2008, good, 4 cylinders, fwd, hybrid, 162000, black,, salvage, automatic, hatchback,$4400,,https://losangeles.craigslist.org/ant/cto/d/2008-toyota-prius/6684231853.html
121,2013 Black Toyota Prius,Toyota,Prius,2013, excellent, 4 cylinders,, hybrid, 78864, black,, clean, automatic,,$11800,,https://losangeles.craigslist.org/sfv/cto/d/2013-black-toyota-prius/6706713864.html
122,"2015 TOYOTA PRIUS Clean Title-BLUETOOTH, BACK-UP CAM. Hybrid Warranty",Toyota,Prius,2015, good, 4 cylinders, fwd, hybrid, 129000, white, full-size, clean, automatic, hatchback,$10500,,https://losangeles.craigslist.org/wst/cto/d/2015-toyota-prius-clean-title/6706677975.html
123,2011 Toyota Prius Two Hatchback 4D,Toyota,Prius,2011, good, 4 cylinders, fwd, gas, 74466, black, compact, clean, automatic, hatchback,$11000, JTDKN3DUXB0258120,https://losangeles.craigslist.org/lgb/cto/d/2011-toyota-prius-two/6702293675.html
124,2011 Toyota Prius Two Hatchback 4D,Toyota,Prius,2011, good, 4 cylinders, fwd, gas, 74466, black, compact, clean, automatic, hatchback,$11000, JTDKN3DUXB0258120,https://losangeles.craigslist.org/sgv/cto/d/2011-toyota-prius-two/6702300445.html
125,2012 Toyota Prius II,Toyota,Prius,2012, excellent, 4 cylinders, fwd, hybrid, 54500, white,, clean, automatic,,$10000,,https://losangeles.craigslist.org/lgb/cto/d/2012-toyota-prius-ii/6706432090.html
126,Toyota Prius Hybrid 2015,Toyota,Prius,2015, excellent,,, hybrid, 45097, silver,, clean, automatic,,$15300,,https://losangeles.craigslist.org/sfv/cto/d/toyota-prius-hybrid-2015/6696532016.html
127,Toyota Prius 2015,Toyota,Prius,2015, excellent,,, hybrid, 42149, white,, clean, automatic,,$16300,,https://losangeles.craigslist.org/sfv/cto/d/toyota-prius-2015/6696535133.html
128,2008 Toyota Prius,Toyota,Prius,2008, good, 4 cylinders, fwd, hybrid, 156100, white, compact, clean, automatic, hatchback,$5000,,https://losangeles.craigslist.org/lgb/cto/d/2008-toyota-prius/6706360266.html
129,"2015 Toyota Prius, Low miles Clean Title in great condition",Toyota,Prius,2015, excellent, 4 cylinders,, hybrid, 41000, black,, clean, automatic, hatchback,$14300,,https://losangeles.craigslist.org/sfv/cto/d/2015-toyota-prius-low-miles/6706359363.html
130,2014 Prius C,Toyota,Prius,2014, like new, 4 cylinders, fwd, gas, 34000, silver, compact, clean, automatic, hatchback,$13000, JTDKDTB31E1562903,https://losangeles.craigslist.org/wst/cto/d/2014-prius/6706331377.html
131,2014 Prius C (low miles),Toyota,Prius,2014, like new, 4 cylinders, fwd, hybrid, 33829, silver, compact, clean, automatic, hatchback,$13000,,https://losangeles.craigslist.org/wst/cto/d/2014-prius-low-miles/6703141543.html
132,2013 Toyota Prius Hybrid Plug-In,Toyota,Prius,2013, excellent, 4 cylinders, fwd, hybrid, 83000, white,, clean, other, hatchback,$12995,,https://losangeles.craigslist.org/wst/cto/d/2013-toyota-prius-hybrid-plug/6703448585.html
133,"2013 TOYOTA PRIUS  (2011,2012,2013,2015)",Toyota,Prius,2013, excellent,,, gas, 106000, grey,, clean, automatic,,$10500,,https://losangeles.craigslist.org/lac/cto/d/2013-toyota-prius/6706154588.html
134,EXCELLENT 2013 WHITE PRIUS HYBRID 33Kmiles w/Navigation,Toyota,Prius,2013, excellent, 4 cylinders,, hybrid, 33000, white,, clean, automatic,,$15500, JTDKN3DU0D5678040,https://losangeles.craigslist.org/wst/cto/d/excellent-2013-white-prius/6700614727.html
135,EXCELLENT 2013 WHITE PRIUS HYBRID 33Kmiles w/Navigation,Toyota,Prius,2013, excellent, 4 cylinders,, hybrid, 33000, white,, clean, automatic,,$15500, JTDKN3DU0D5678040,https://losangeles.craigslist.org/wst/cto/d/excellent-2013-white-prius/6705779687.html
136,"2014 Toyota Prius C THREE 31,450 LOW MILES",Toyota,Prius,2014, excellent, 4 cylinders, fwd, hybrid, 31450, silver, compact, clean, automatic, hatchback,$12998, JTDKDTB33E1560733,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-prius-threelow/6705772446.html
137,2015 Toyota Prius 3,Toyota,Prius,2015, excellent, 4 cylinders, fwd, gas, 56861, black,, clean, automatic,,$17200, JTDKN3DU2F1915654,https://losangeles.craigslist.org/lac/cto/d/2015-toyota-prius-3/6683542646.html
138,2015 Toyota Prius,Toyota,Prius,2015, excellent, 4 cylinders, fwd, gas, 45291, white,, clean, automatic,,$19600, JTDKN3DU9F0463773,https://losangeles.craigslist.org/lac/cto/d/2015-toyota-prius/6683386879.html
139,2015 Toyota Prius 3 Certified PreOwned,Toyota,Prius,2015, like new, 4 cylinders, fwd, hybrid, 27233, white,, clean, automatic, hatchback,$17500,,https://losangeles.craigslist.org/wst/cto/d/2015-toyota-prius-3-certified/6696356596.html
140,Toyota prius,Toyota,Prius,2013, good,,, hybrid, 91000, white,, clean, automatic, sedan,$13000, JTDKN3DU1D1718990,https://losangeles.craigslist.org/lac/cto/d/toyota-prius/6705189308.html
